pdbid cs_true rmsd_true cs_pred rmsd_pred status cs rmsd color method max_tanimoto
1o15 0.38 0.84 0.92 1.08 1 0.92 1.08 forestgreen nmr 1
1o9m 0.8 0.74 0.92 0.89 1 0.92 0.89 forestgreen xray 1
1pbr 0.44 0.75 0.71 7.83 1 0.71 7.83 forestgreen nmr 1
1qd3 0.38 0.5 0.38 9.67 0 0.38 9.67 red nmr 1
1tob 0.29 0.54 0.86 8.47 1 0.86 8.47 forestgreen nmr 1
1y26 0.82 0.46 0.85 0.6 1 0.85 0.6 forestgreen xray 1
1yrj 0.74 0.61 0.93 10.02 1 0.93 10.02 forestgreen xray 1
2au4 0.21 1.37 0.35 6.42 0 0.35 6.42 red nmr 1
2esj 0.66 0.74 0.86 1.07 1 0.86 1.07 forestgreen xray 1
2et3 0.85 0.74 0.93 1 1 0.93 1 forestgreen xray 1
2et4 0.85 0.57 0.9 0.71 1 0.9 0.71 forestgreen xray 1
2et8 0.93 0.43 0.97 1.07 1 0.97 1.07 forestgreen xray 1
2f4s 0.91 0.5 1 0.59 1 1 0.59 forestgreen xray 1
2f4u 0.92 0.84 0.95 1.26 1 0.95 1.26 forestgreen xray 1
2fcx 0.39 0.42 0.68 2.37 1 0.68 2.37 forestgreen xray 1
2fcy 0.97 0.62 1 1.4 1 1 1.4 forestgreen xray 1
2fcz 0.9 0.66 0.83 1.07 1 0.83 1.07 forestgreen xray 1
2fd0 0.91 0.76 0.92 2.02 1 0.92 2.02 forestgreen xray 1
2l1v 0.94 0.32 0.98 0.4 1 0.98 0.4 forestgreen nmr 1
2m4q 0.53 0.6 0.6 0.84 1 0.6 0.84 forestgreen nmr 1
2miy 0.33 0.46 0.31 0.58 0 0.31 0.58 red nmr 1
2mxs 0.65 0.53 0.7 2.39 1 0.7 2.39 forestgreen nmr 1
2n0j 0.48 0.63 0.65 6.94 1 0.65 6.94 forestgreen nmr 1
2o3w 0.16 0.85 0.37 9.26 0 0.37 9.26 red xray 1
2o3x 0.71 0.59 0.91 2.13 1 0.91 2.13 forestgreen xray 1
2oe5 0.98 0.64 0.98 0.92 1 0.98 0.92 forestgreen xray 1
2oe8 0.91 0.57 0.96 0.88 1 0.96 0.88 forestgreen xray 1
2tob 0.78 0.31 0.92 1.09 1 0.92 1.09 forestgreen nmr 1
3c44 0.92 0.7 0.96 1.2 1 0.96 1.2 forestgreen xray 1
4k32 0.06 0.47 0.74 2.01 1 0.74 2.01 forestgreen xray 1
4wcr 0.52 0.59 0.66 1.6 1 0.66 1.6 forestgreen xray 1
4znp 0.94 0.37 0.96 1.26 1 0.96 1.26 forestgreen xray 1
5btp 0.88 0.38 0.9 1.18 1 0.9 1.18 forestgreen xray 1
5lwj 0.32 1.08 0.34 2.17 0 0.34 2.17 red nmr 1
5uza 0.4 0.23 0.84 2.52 1 0.84 2.52 forestgreen xray 1
